Class ID,Preferred Label,File extension
http://edamontology.org/data_0005,Resource type,
http://edamontology.org/data_0006,Data,
http://edamontology.org/data_0007,Tool,
http://edamontology.org/data_0581,Database,
http://edamontology.org/data_0582,Ontology,
http://edamontology.org/data_0583,Directory metadata,
http://edamontology.org/data_0831,MeSH vocabulary,
http://edamontology.org/data_0832,HGNC vocabulary,
http://edamontology.org/data_0835,UMLS vocabulary,
http://edamontology.org/data_0842,Identifier,
http://edamontology.org/data_0843,Database entry,
http://edamontology.org/data_0844,Molecular mass,
http://edamontology.org/data_0845,Molecular charge,
http://edamontology.org/data_0846,Chemical formula,
http://edamontology.org/data_0847,QSAR descriptor,
http://edamontology.org/data_0848,Raw sequence,
http://edamontology.org/data_0849,Sequence record,
http://edamontology.org/data_0850,Sequence set,
http://edamontology.org/data_0851,Sequence mask character,
http://edamontology.org/data_0852,Sequence mask type,
http://edamontology.org/data_0853,DNA sense specification,
http://edamontology.org/data_0854,Sequence length specification,
http://edamontology.org/data_0855,Sequence metadata,
http://edamontology.org/data_0856,Sequence feature source,
http://edamontology.org/data_0857,Sequence search results,
http://edamontology.org/data_0858,Sequence signature matches,
http://edamontology.org/data_0859,Sequence signature model,
http://edamontology.org/data_0860,Sequence signature data,
http://edamontology.org/data_0861,Sequence alignment (words),
http://edamontology.org/data_0862,Dotplot,
http://edamontology.org/data_0863,Sequence alignment,
http://edamontology.org/data_0864,Sequence alignment parameter,
http://edamontology.org/data_0865,Sequence similarity score,
http://edamontology.org/data_0866,Sequence alignment metadata,
http://edamontology.org/data_0867,Sequence alignment report,
http://edamontology.org/data_0868,Profile-profile alignment,
http://edamontology.org/data_0869,Sequence-profile alignment,
http://edamontology.org/data_0870,Sequence distance matrix,
http://edamontology.org/data_0871,Phylogenetic character data,
http://edamontology.org/data_0872,Phylogenetic tree,
http://edamontology.org/data_0874,Comparison matrix,
http://edamontology.org/data_0875,Protein topology,
http://edamontology.org/data_0876,Protein features report (secondary structure),
http://edamontology.org/data_0877,Protein features report (super-secondary),
http://edamontology.org/data_0878,Protein secondary structure alignment,
http://edamontology.org/data_0879,Secondary structure alignment metadata (protein),
http://edamontology.org/data_0880,RNA secondary structure,
http://edamontology.org/data_0881,RNA secondary structure alignment,
http://edamontology.org/data_0882,Secondary structure alignment metadata (RNA),
http://edamontology.org/data_0883,Structure,
http://edamontology.org/data_0884,Tertiary structure record,
http://edamontology.org/data_0885,Structure database search results,
http://edamontology.org/data_0886,Structure alignment,
http://edamontology.org/data_0887,Structure alignment report,
http://edamontology.org/data_0888,Structure similarity score,
http://edamontology.org/data_0889,Structural profile,
http://edamontology.org/data_0890,Structural (3D) profile alignment,
http://edamontology.org/data_0891,Sequence-3D profile alignment,
http://edamontology.org/data_0892,Protein sequence-structure scoring matrix,
http://edamontology.org/data_0893,Sequence-structure alignment,
http://edamontology.org/data_0894,Amino acid annotation,
http://edamontology.org/data_0895,Peptide annotation,
http://edamontology.org/data_0896,Protein report,
http://edamontology.org/data_0897,Protein property,
http://edamontology.org/data_0899,Protein structural motifs and surfaces,
http://edamontology.org/data_0900,Protein domain classification,
http://edamontology.org/data_0901,Protein features report (domains),
http://edamontology.org/data_0902,Protein architecture report,
http://edamontology.org/data_0903,Protein folding report,
http://edamontology.org/data_0904,Protein features (mutation),
http://edamontology.org/data_0905,Protein interaction raw data,
http://edamontology.org/data_0906,Protein interaction data,
http://edamontology.org/data_0907,Protein family report,
http://edamontology.org/data_0909,Vmax,
http://edamontology.org/data_0910,Km,
http://edamontology.org/data_0911,Nucleotide base annotation,
http://edamontology.org/data_0912,Nucleic acid property,
http://edamontology.org/data_0914,Codon usage data,
http://edamontology.org/data_0916,Gene report,
http://edamontology.org/data_0917,Gene classification,
http://edamontology.org/data_0918,DNA variation,
http://edamontology.org/data_0919,Chromosome report,
http://edamontology.org/data_0920,Genotype/phenotype report,
http://edamontology.org/data_0923,PCR experiment report,
http://edamontology.org/data_0924,Sequence trace,
http://edamontology.org/data_0925,Sequence assembly,
http://edamontology.org/data_0926,RH scores,
http://edamontology.org/data_0927,Genetic linkage report,
http://edamontology.org/data_0928,Gene expression profile,
http://edamontology.org/data_0931,Microarray experiment report,
http://edamontology.org/data_0932,Oligonucleotide probe data,
http://edamontology.org/data_0933,SAGE experimental data,
http://edamontology.org/data_0934,MPSS experimental data,
http://edamontology.org/data_0935,SBS experimental data,
http://edamontology.org/data_0936,Sequence tag profile (with gene assignment),
http://edamontology.org/data_0937,Electron density map,
http://edamontology.org/data_0938,Raw NMR data,
http://edamontology.org/data_0939,CD spectra,
http://edamontology.org/data_0940,Volume map,
http://edamontology.org/data_0941,Electron microscopy model,
http://edamontology.org/data_0942,2D PAGE image,
http://edamontology.org/data_0943,Mass spectrum,
http://edamontology.org/data_0944,Peptide mass fingerprint,
http://edamontology.org/data_0945,Peptide identification,
http://edamontology.org/data_0946,Pathway or network annotation,
http://edamontology.org/data_0947,Biological pathway map,
http://edamontology.org/data_0948,Data resource definition,
http://edamontology.org/data_0949,Workflow metadata,
http://edamontology.org/data_0950,Mathematical model,
http://edamontology.org/data_0951,Statistical estimate score,
http://edamontology.org/data_0952,EMBOSS database resource definition,
http://edamontology.org/data_0953,Version information,
http://edamontology.org/data_0954,Database cross-mapping,
http://edamontology.org/data_0955,Data index,
http://edamontology.org/data_0956,Data index report,
http://edamontology.org/data_0957,Database metadata,
http://edamontology.org/data_0958,Tool metadata,
http://edamontology.org/data_0959,Job metadata,
http://edamontology.org/data_0960,User metadata,
http://edamontology.org/data_0962,Small molecule report,
http://edamontology.org/data_0963,Cell line report,
http://edamontology.org/data_0964,Scent annotation,
http://edamontology.org/data_0966,Ontology term,
http://edamontology.org/data_0967,Ontology concept data,
http://edamontology.org/data_0968,Keyword,
http://edamontology.org/data_0970,Citation,
http://edamontology.org/data_0971,Article,
http://edamontology.org/data_0972,Text mining report,
http://edamontology.org/data_0974,Entity identifier,
http://edamontology.org/data_0975,Data resource identifier,
http://edamontology.org/data_0976,Identifier (by type of data),
http://edamontology.org/data_0977,Tool identifier,
http://edamontology.org/data_0978,Discrete entity identifier,
http://edamontology.org/data_0979,Entity feature identifier,
http://edamontology.org/data_0980,Entity collection identifier,
http://edamontology.org/data_0981,Phenomenon identifier,
http://edamontology.org/data_0982,Molecule identifier,
http://edamontology.org/data_0983,Atom ID,
http://edamontology.org/data_0984,Molecule name,
http://edamontology.org/data_0985,Molecule type,
http://edamontology.org/data_0986,Chemical identifier,
http://edamontology.org/data_0987,Chromosome name,
http://edamontology.org/data_0988,Peptide identifier,
http://edamontology.org/data_0989,Protein identifier,
http://edamontology.org/data_0990,Compound name,
http://edamontology.org/data_0991,Chemical registry number,
http://edamontology.org/data_0992,Ligand identifier,
http://edamontology.org/data_0993,Drug identifier,
http://edamontology.org/data_0994,Amino acid identifier,
http://edamontology.org/data_0995,Nucleotide identifier,
http://edamontology.org/data_0996,Monosaccharide identifier,
http://edamontology.org/data_0997,Chemical name (ChEBI),
http://edamontology.org/data_0998,Chemical name (IUPAC),
http://edamontology.org/data_0999,Chemical name (INN),
http://edamontology.org/data_1000,Chemical name (brand),
http://edamontology.org/data_1001,Chemical name (synonymous),
http://edamontology.org/data_1002,CAS number,
http://edamontology.org/data_1003,Chemical registry number (Beilstein),
http://edamontology.org/data_1004,Chemical registry number (Gmelin),
http://edamontology.org/data_1005,HET group name,
http://edamontology.org/data_1006,Amino acid name,
http://edamontology.org/data_1007,Nucleotide code,
http://edamontology.org/data_1008,Polypeptide chain ID,
http://edamontology.org/data_1009,Protein name,
http://edamontology.org/data_1010,Enzyme identifier,
http://edamontology.org/data_1011,EC number,
http://edamontology.org/data_1012,Enzyme name,
http://edamontology.org/data_1013,Restriction enzyme name,
http://edamontology.org/data_1014,Sequence position specification,
http://edamontology.org/data_1015,Sequence feature ID,
http://edamontology.org/data_1016,Sequence position,
http://edamontology.org/data_1017,Sequence range,
http://edamontology.org/data_1018,Nucleic acid feature identifier,
http://edamontology.org/data_1019,Protein feature identifier,
http://edamontology.org/data_1020,Sequence feature key,
http://edamontology.org/data_1021,Sequence feature qualifier,
http://edamontology.org/data_1022,Sequence feature label,
http://edamontology.org/data_1023,EMBOSS Uniform Feature Object,
http://edamontology.org/data_1024,Codon name,
http://edamontology.org/data_1025,Gene identifier,
http://edamontology.org/data_1026,Gene symbol,
http://edamontology.org/data_1027,Gene ID (NCBI),
http://edamontology.org/data_1028,Gene identifier (NCBI RefSeq),
http://edamontology.org/data_1029,Gene identifier (NCBI UniGene),
http://edamontology.org/data_1030,Gene identifier (Entrez),
http://edamontology.org/data_1031,Gene ID (CGD),
http://edamontology.org/data_1032,Gene ID (DictyBase),
http://edamontology.org/data_1033,Ensembl gene ID,
http://edamontology.org/data_1034,Gene ID (SGD),
http://edamontology.org/data_1035,Gene ID (GeneDB),
http://edamontology.org/data_1036,TIGR identifier,
http://edamontology.org/data_1037,TAIR accession (gene),
http://edamontology.org/data_1038,Protein domain ID,
http://edamontology.org/data_1039,SCOP domain identifier,
http://edamontology.org/data_1040,CATH domain ID,
http://edamontology.org/data_1041,SCOP concise classification string (sccs),
http://edamontology.org/data_1042,SCOP sunid,
http://edamontology.org/data_1043,CATH node ID,
http://edamontology.org/data_1044,Kingdom name,
http://edamontology.org/data_1045,Species name,
http://edamontology.org/data_1046,Strain name,
http://edamontology.org/data_1047,URI,
http://edamontology.org/data_1048,Database ID,
http://edamontology.org/data_1049,Directory name,
http://edamontology.org/data_1050,File name,
http://edamontology.org/data_1051,Ontology name,
http://edamontology.org/data_1052,URL,
http://edamontology.org/data_1053,URN,
http://edamontology.org/data_1055,LSID,
http://edamontology.org/data_1056,Database name,
http://edamontology.org/data_1057,Sequence database name,
http://edamontology.org/data_1058,Enumerated file name,
http://edamontology.org/data_1059,File name extension,
http://edamontology.org/data_1060,File base name,
http://edamontology.org/data_1061,QSAR descriptor name,
http://edamontology.org/data_1062,Database entry identifier,
http://edamontology.org/data_1063,Sequence identifier,
http://edamontology.org/data_1064,Sequence set ID,
http://edamontology.org/data_1065,Sequence signature identifier,
http://edamontology.org/data_1066,Sequence alignment ID,
http://edamontology.org/data_1067,Phylogenetic distance matrix identifier,
http://edamontology.org/data_1068,Phylogenetic tree ID,
http://edamontology.org/data_1069,Comparison matrix identifier,
http://edamontology.org/data_1070,Structure ID,
http://edamontology.org/data_1071,Structural (3D) profile ID,
http://edamontology.org/data_1072,Structure alignment ID,
http://edamontology.org/data_1073,Amino acid index ID,
http://edamontology.org/data_1074,Protein interaction ID,
http://edamontology.org/data_1075,Protein family identifier,
http://edamontology.org/data_1076,Codon usage table name,
http://edamontology.org/data_1077,Transcription factor identifier,
http://edamontology.org/data_1078,Experiment annotation ID,
http://edamontology.org/data_1079,Electron microscopy model ID,
http://edamontology.org/data_1080,Gene expression report ID,
http://edamontology.org/data_1081,Genotype and phenotype annotation ID,
http://edamontology.org/data_1082,Pathway or network identifier,
http://edamontology.org/data_1083,Workflow ID,
http://edamontology.org/data_1084,Data resource definition ID,
http://edamontology.org/data_1085,Biological model ID,
http://edamontology.org/data_1086,Compound identifier,
http://edamontology.org/data_1087,Ontology concept ID,
http://edamontology.org/data_1088,Article ID,
http://edamontology.org/data_1089,FlyBase ID,
http://edamontology.org/data_1091,WormBase name,
http://edamontology.org/data_1092,WormBase class,
http://edamontology.org/data_1093,Sequence accession,
http://edamontology.org/data_1094,Sequence type,
http://edamontology.org/data_1095,EMBOSS Uniform Sequence Address,
http://edamontology.org/data_1096,Sequence accession (protein),
http://edamontology.org/data_1097,Sequence accession (nucleic acid),
http://edamontology.org/data_1098,RefSeq accession,
http://edamontology.org/data_1099,UniProt accession (extended),
http://edamontology.org/data_1100,PIR identifier,
http://edamontology.org/data_1101,TREMBL accession,
http://edamontology.org/data_1102,Gramene primary identifier,
http://edamontology.org/data_1103,EMBL/GenBank/DDBJ ID,
http://edamontology.org/data_1104,Sequence cluster ID (UniGene),
